sample,P1,Pinf,Pstep,discount_rate,diesel_price,N_mid,method,delta_lcoe_pct_raw,delta_lcoe_pct_corrected,switch_count,bias_correction_factor
31,4.719035376368701,1.3181634664396578,2.4585901355696946,0.13903200378995428,1.6871736855794455,39.11849522095187,full_OnSSET,74.79111588559762,67.3939024006444,5466.0,0.9010950244910345
32,4.4941343308005095,1.7752845100715746,2.5857476637512153,0.13948030070154557,1.628945413422548,34.28387346412377,full_OnSSET,74.06761344261884,66.7419579490691,5369.0,0.9010950244910345
33,3.8150065988746613,1.2008496238959523,2.2421198548868766,0.10120857335926522,1.639598005302446,21.57952231938026,full_OnSSET,38.147754484414065,34.37475176141106,4495.0,0.9010950244910345
34,4.641950088758414,1.611861428695674,2.5558877401299833,0.13620247349158415,1.5780267240381243,36.199369969446934,full_OnSSET,75.84444827357957,68.34305497459019,5394.0,0.9010950244910345
35,3.2729413544550074,1.8161540085062415,2.0135167446557687,0.11652737560295995,1.8445445613158211,36.91083154516491,full_OnSSET,18.043307868730217,16.25873494587273,3943.0,0.9010950244910345
36,4.4814109959771296,1.1939688072148529,2.1371858318135772,0.11560675817283628,2.1301462896162136,23.974633477663154,full_OnSSET,41.80829617085926,37.67324766200885,5002.0,0.9010950244910345
37,3.5233400455478825,1.9436019893302907,2.346440225107319,0.0930120033417029,1.5992466885306256,19.236124612024447,full_OnSSET,35.35956390225223,31.862327100492276,4150.0,0.9010950244910345
38,4.371152177887436,1.447399176026698,2.8480519000988656,0.12196635787738405,1.6649719916755708,34.11299994847029,full_OnSSET,82.79327537973758,74.6046085059976,5121.0,0.9010950244910345
39,3.457665486321613,1.4166205445426547,2.5761107855608207,0.1136358099640972,2.169358160527054,10.492471888269984,full_OnSSET,41.90737806784488,37.762529866399724,4418.0,0.9010950244910345
40,3.232245415579523,1.561140439941597,2.024971056480195,0.11692792100432385,1.763016872447274,19.532833475619093,full_OnSSET,16.523909818831477,14.889612922887595,3892.0,0.9010950244910345
41,3.6806790085651944,1.8197831365337853,2.4306794924111177,0.06060531188701098,2.159107091925488,22.33038507993821,full_OnSSET,49.1928931346772,44.327471243976795,3657.0,0.9010950244910345
42,4.310893155581691,1.5373462291651128,2.3147397056481593,0.10307122334688193,2.125977671345425,24.931111232374363,full_OnSSET,49.09590229030108,44.24007327668829,4781.0,0.9010950244910345
43,4.839949416984375,1.5552896138060226,2.7691984375879133,0.10885904959261414,2.2746454620296452,38.95926118408194,full_OnSSET,87.41477552629837,78.76901929374812,5078.0,0.9010950244910345
44,4.885676613738941,1.4287962274789856,2.878037711490797,0.09531161636918845,2.0998101550599095,42.16424800535316,full_OnSSET,93.56686297664568,84.31263468548981,4813.0,0.9010950244910345
45,4.330223134739871,1.2199562640704458,2.7789961433764963,0.1259185267233456,2.039055747535193,28.079087762072675,full_OnSSET,78.60470629635259,70.83030974522241,5161.0,0.9010950244910345
46,3.566114194049245,1.2995386503674444,2.8085366733780694,0.1324281069154189,2.1227365932743854,23.458669814088168,full_OnSSET,69.56488263936083,62.68456962563079,4779.0,0.9010950244910345
47,3.9877393749338137,1.4975175513349668,2.4654407122137534,0.11984915441625761,1.7659099583437452,15.644008437694197,full_OnSSET,45.82916268078134,41.296430468242264,4869.0,0.9010950244910345
48,3.6528140547023495,1.8545832412006302,2.787103358120188,0.07106756269819167,2.141965370486063,18.75115997276224,full_OnSSET,71.44474473656088,64.37850400814703,3870.0,0.9010950244910345
49,4.2679091736230435,1.0830058451336262,2.07037027752545,0.11198526172781567,2.139180895391957,19.991442500247118,full_OnSSET,33.50924597751005,30.195014824780518,4835.0,0.9010950244910345
50,4.205499230291938,1.7092258044397073,2.6124286408127726,0.1398384473452949,1.8814079494730407,40.6165742005837,full_OnSSET,73.72441907311986,66.43270721028023,5252.0,0.9010950244910345
51,3.786018193531193,1.2703750522859583,2.1402717884171096,0.13128153148556262,2.26894730718562,33.039277185955626,full_OnSSET,37.980421178057426,34.22396855162146,4858.0,0.9010950244910345
52,3.939356543233128,1.0702012655391824,2.29796505115435,0.0941192630458915,1.5330689268301176,25.598506139315205,full_OnSSET,46.94446048537057,42.3014197707834,4426.0,0.9010950244910345
53,4.118284843812629,1.400874551455996,2.6597554639726604,0.10054473089979321,1.8750988475096342,38.478663039941324,full_OnSSET,76.38509569776055,68.83022967852355,4650.0,0.9010950244910345
54,4.037145686821626,1.2565573982581293,2.715612709440301,0.13770270796121553,1.8952818464108954,40.88461298089631,full_OnSSET,75.90799713423434,68.40031853673827,5122.0,0.9010950244910345
